"","category","title","writer","article"
"19","정치","속타는 강경화 장관","뉴스1","(서울=뉴스1) 이종덕 기자 = 강경화 외교부장관이 3일 오후 서울 여의도 국회 외교통일위원회 전체회의에 출석해 의원들의 질의에 …"
"20","정치","국회, 대학생 미래 정치지도자 의회연수 실시","뉴시스","【서울=뉴시스】김형섭 기자 = 국회 사무처는 강원 고성군에 위치한 국회고성연수원에서 지난 1일부터 2박3일간 정치에 관심 있는  …"
"21","경제","[ET투자뉴스][리드 지분 변동] 라임자산운용주식회사-9.13%p 감소, 15.88% 보유","전자신문","리드(197210)는 03일 주주 라임자산운용주식회사의 보유주식이 감소되었다고 발표했다. 이는 직전 보고일보다 1,582,397 …"
"22","경제","박용만 회장 日 보복에 우리는 서로 비난만 쓴소리","노컷뉴스","[CBS노컷뉴스 김선경 기자]박용만 대한상공회의소 회장이 일본의 경제보복 조치에 대한 정부와 정치권의 대응 모습을 강도 높게 비 …"
"23","경제","조원희 변호사 기존 규제 참조해 자율 규제 모색해야","서울경제","[서울경제 디센터] “암호화폐 시장에서의 시장조성행위(Market Making)는 향후 규제될 가능성이 높습니다. 사기, 사전자 …"
"24","경제","포스코, 'WEF 등대공장'에 첫 선정","스포츠서울","[스포츠서울 노태영 기자]포스코가 세계 제조업의 미래를 선도할 ‘등대공장’에 선정됐다고 3일 밝혔다. 세계경제포럼(WEF)이 발 …"
"25","경제","에몬스, 하반기 트렌드 발표회…친환경·ICT 기술 접목","데일리안","에몬스 인천 남동공단에 위치한 본사 및 본사전시장에서 2019 F/W 가구 트렌드 및 신제품 품평회를 개최했다고 3일 밝혔다.  …"
"26","경제","코스피 나흘째 하락…보름 만에 2,100선 밑돌아","KBS","코스피가 4거래일 연속 하락하면서 보름 만에 2,100선을 밑돌았습니다. 코스피는 전 거래일보다 26.00포인트(1.23%) 내 …"
"27","경제","신도시 동맥 `GTX`가 땅속 폭탄?…학계서 우려 제기","디지털타임스","[디지털타임스 박상길 기자] 정부가 지난 5월 발표한 3기 신도시의 서울 접근성을 좌우할 신도시 주민들의 최대 관심사인 수도권광 …"
"28","경제","코오롱생명과학, 인보사 허가 취소에도 5%대 상승","뉴시스","【서울=뉴시스】하종민 기자 = 코오롱생명과학(102940)이 인보사 허가 취소 소식에도 5%대 강세를 보였다. 코오롱티슈진(95 …"
"29","경제","[그래픽] '인보사' 개발부터 허가 취소 확정까지","연합뉴스","(서울=연합뉴스) 박영석 기자 = 식품의약품안전처가 의약품 성분이 뒤바뀐 코오롱생명과학의 골관절염 유전자 치료제 '인보사케이주' …"
"30","경제","비둘기 vs 매 '팽팽한 기싸움'…7월 금통위, 격론 속 동결 유력","조선비즈","조동철·신인석, 금리인하 소수의견 예상 금융불균형은 줄었지만 안전지대 아니다.(3월 20일, 이일형 금통위원) 기준금리 변 …"
"31","경제","[머니S포토] 안현모, 시선 잡는 비주얼","머니S","방송인 안현모가 3일 오후 서울 성동구 성수동 바이산 카페에서 열린 스위스 워치 브랜드 태그호이어의 '손흥민 리미티드 에디션'  …"
"32","경제","[IPO출사표]이정수 플리토 대표 글로벌 언어 AI 시장 주도할 것","이데일리","이정수 플리토 대표가 3일 서울 여의도에서 열린 IPO 기자간담회에서 회사 사업 내용을 설명하고 있다. [이데일리 김대웅 기자] …"
"33","경제","오븐에 구운 쌀 새우과자에 손이 가요…농심, '구운새우칩' 출시","한국경제","[ 오정민 기자 ]농심은 쌀로 만든 스낵 '구운새우칩'을 출시했다고 3일 밝혔다. 신제품은 1mm두께로 얇게 빚은 쌀 반죽을 4 …"
"34","경제","태그호이어, 777개 손흥민 한정판 시계 출시","연합뉴스","(서울=연합뉴스) 이재희 기자 = 손흥민 축구 선수가 3일 오후 서울 성수동의 한 카페에서 열린 태그호이어 '손흥민 리미티드 에 …"
"35","경제","태그호이어, 손흥민 한정판 시계 출시","연합뉴스","(서울=연합뉴스) 이재희 기자 = 손흥민 축구 선수가 3일 오후 서울 성수동의 한 카페에서 열린 태그호이어 '손흥민 리미티드 에 …"
"36","경제","윤석헌 금감원장 은행 자영업자 지원은 윈-윈 사례","머니투데이","[머니투데이 권화순 기자] 윤석헌 금융감독원장이 3일 지방은행장 간담회 이후 광주은행에서 설립을 추진중인 '포용금융센터' 기공식 …"
"37","경제","아베 한국 반도체 수출규제, WTO 협정 위반 아니다","한국경제","[ 이송렬 기자 ] 아베 신조(安倍晋三) 일본 총리는 한국에 대한 수출규제에 대해 세계무역기구(WTO) 협정 위반이 아니라고 주 …"
"38","경제","라가르드 ECB 행에... 차기 IMF 총재 누구? 하마평 무성","파이낸셜뉴스","크리스틴 라가르드 IMF 총재 / 사진=fnDB 크리스틴 라가르드 국제통화기금(IMF) 총재가 차기 유럽중앙은행(ECB) 총재로 …"
"39","경제","[마감시황] 外人 1,000억대 순매도... 코스피 1.23% 하락","서울경제","[서울경제] 코스피 지수가 외국인의 매도 폭 확대로 1%대 하락 마감했다. 일본의 수출제재에 더불어 이번에는 미국-유럽연합(EU …"
"40","경제","태그호이어, '손흥민 리미티드 에디션' 출시","연합뉴스","(서울=연합뉴스) 이재희 기자 = 손흥민 축구 선수가 3일 오후 서울 성수동의 한 카페에서 열린 태그호이어 '손흥민 리미티드 에 …"
"41","사회","다스 소송비 명세서, 이학수 지시로 처리…3년여간 10회 이상","매일경제","삼성의 다스 소송비 대납과 관련해 이명박 전 대통령에게 항소심에서 추가된 51억여원 뇌물 혐의에 대해 삼성 임원이 이학수 전  …"
"42","사회","[포토] 아이돌보미 '여성가족부에 교섭 요구'","한국경제","[ 변성현 기자 ] 공공연대노동조합 아이돌보미 조합원이 3일 오후 서울 종로구 정부서울청사 정문 앞에서 '진짜 사용자 여성가족부 …"
"43","사회","함양군, '공직 청렴도 향상' 성과 거뒀다","뉴스1","(부산ㆍ경남=뉴스1) 김대광 기자 = 경남 함양군이 민선 7기 출범과 함께 청렴한 공직문화 조성 시책을 추진한 결과, 현재까지  …"
"44","사회","한라산 등반 중 심정지 60대 구한 익명 간호사…CPR로 회생","뉴스1","(제주=뉴스1) 홍수영 기자 = 한라산 등반 중 심정지가 발생한 60대가 때마침 인근에 있던 퇴직 간호사(여)의 도움으로 목숨을 …"
"45","사회","(사)한국전문기자협회 2019대한민국 리더대상 부동산/집합건물 부분 김연기 변호사 수상","한국경제TV","최근 (사)한국전문기자협회는 2019 대한민국 리더대상에 각 분야 수상자들을 선정해 발표했다. 그 중 부동산 분야 집합건물 부분 …"
"46","사회","‘조세회피’ 위해 유령회사 세운 독일 펀드… 대법 “세금 46억 더 내라","한국일보","조세를 피할 목적으로 국내에 서류상으로만 존재하는 페이퍼컴퍼니를 설립한 독일계 투자회사가 8년 간의 법정 다툼 끝에 결국 46여 …"
"47","사회","신속한 통신재난 복구","뉴스1","(서울=뉴스1) 허경 기자 = 3일 서울 종로구 KT혜화국사에서 열린 2019년 통신재난 대응훈련에서 KT 직원들이 통신 시설을 …"
"48","사회","'대한민국 통신망, 재난에도 이상 무'","뉴스1","(서울=뉴스1) 허경 기자 = 유영민 과학기술정보통신부 장관, 황창규 KT 회장, 노웅래 과학기술정보방송통신위원장, 3일 서울  …"
"49","사회","구 통신 시설 살피는 유영민 장관","뉴스1","(서울=뉴스1) 허경 기자 = 유영민 과학기술정보통신부 장관, 황창규 KT 회장, 노웅래 과학기술정보방송통신위원장, 3일 서울  …"
"50","사회","'백선엽 두둔하는 재향군인회 해체해야'","연합뉴스","(서울=연합뉴스) 홍규빈 기자 = 독립운동기념사업회들의 연합체인 항일독립선열선양단체연합(항단연)이 3일 서울 서초구 재향군인회  …"
"51","사회","'신속한 통신 복구를 위해'","뉴스1","(서울=뉴스1) 허경 기자 = 3일 서울 종로구 KT혜화국사에서 열린 2019년 통신재난 대응훈련에서 KT 직원들이 피해 상황을 …"
"52","사회","제주도 오라관광단지, 자본검증 납득할 자료 있어야","뉴스1","(제주=뉴스1) 고동명 기자 = 5조원이라는 제주 역사상 최대 자본이 투자될 예정인 제주오라관광단지 개발사업이 좌초될 가능성이  …"
"53","사회","[사진]머리띠 두른 학교비정규직노조","머니투데이","[머니투데이 이동훈 기자] 전국학교비정규직노조원들이 3일 오후 서울 종로구 광화문광장에서 총파업 집회를 열고 비정규직 철폐, 차 …"
"54","사회","물속에 곤두박질치는 흰빰검둥오리","뉴스1","(포항=뉴스1) 최창호 기자 = 3일 오후 경북 포항시 남구 연일읍 유강리 형산강에서 인기척에 놀란 흰빰검둥오리 한마리가 날아오 …"
"55","사회","조선대, 박사학위 ‘불공정 심사’ 징계 결정에도 대학원은 ‘모르쇠’","프레시안","[박호재 기자(=광주)] 조선대 이모 교수가 자신의 아들 박사학위 논문심사에 참여한 불공정행위와 관련(프레시안 3월 29일자 보 …"
"56","사회","채광철 목포해경서장, 경비함정 직원과의 소통간담회 가져","아시아경제","[아시아경제 호남취재본부 서영서 기자] 목포해양경찰서는 3일 오후 2시 전용부두 혜화관 강당에서 경위 이하 재박함정 직원 50여 …"
"57","사회","[부고]김규련(창원상공회의소 경남지식재산센터장)씨 부친상","뉴시스","【창원=뉴시스】홍정명 기자 = ▲김창명씨 별세, 김종련(영농)·규련(창원상공회의소 경남지식재산센터장)·위련(영농)·호련(LG유플 …"
"58","사회","[원주소식] 고령운전자 실버마크 제작 배포 등","뉴시스","【원주=뉴시스】권순명 기자 = 강원 원주시는 매년 증가하는 고령운전자 유발 교통사고를 예방하기 위해 '고령운전자 실버마크'를 제 …"
"59","사회","'잘 터지네'","뉴스1","(서울=뉴스1) 허경 기자 = 유영민 과학기술정보통신부 장관, 노웅래 과학기술정보방송통신위원장, 황창규 KT 회장이 3일 서울  …"
"60","사회","복구된 통신망 확인하는 유영민 장관","뉴스1","(서울=뉴스1) 허경 기자 = 유영민 과학기술정보통신부 장관, 황창규 KT 회장이 3일 서울 종로구 KT혜화국사에서 열린 201 …"
"61","생활_문화","7900원 삼계탕 맛집 고양 토당동 '육삿갓', '2TV 저녁 생생정보통 맛집오늘-초저가의 비밀' 소개, 위치는?","매일신문","[디지털국] 3일 방송되는 KBS 2TV '2TV 생생정보'의 코너인 '초저가의 비밀'에서, 고양시 토당동에 위치한 맛집 '육삿 …"
"62","생활_문화","리조트 레포츠 여행-진정한 힐링 요가 리조트","매일경제","리조트 여행에서 빼놓을 수 없는 게 레포츠이다. 여행을 하면서 숙소의 형태에 구애받을 이유는 없지만, 그래도 리조트를 선택했을  …"
"63","생활_문화","‘베르나르 뷔페’전-프랑스가 가장 사랑하고 자랑하는 아티스트","매일경제","그 어떤 수식어보다 ‘진정한 화가’라는 단순한 단어가 가장 잘 어울리는 베르나르 뷔페. 일찍부터 천재성을 발휘했지만 그는 추상  …"
"64","생활_문화","더 늦게 전에 펀딩-눈에 띄는 사전구매 바이오린클","매일경제","크라우드펀딩사이트의 리워드 분야가 사전 구매의 장으로 자리잡은 지 오래다. 장점이 있다. 펀딩사이트에 올라오는 개발 상품들은 나 …"
"65","생활_문화","How To Wear Eyewear-안경은 얼굴이다","매일경제","안경은 남자의 몇 안 되는 액세서리 중 하나다. 얼굴이라는 가장 중요한 부위에 함께하기에 드라마틱한 변화도 가능하다. 영어사전에 …"
"66","생활_문화","Citylife 제686호 (19.07.09) BOOK","매일경제","▶침묵의 수도원에서 건축의 진경을 보다 『묵상』 수도원과 건축, 여행, 승효상이라는 네 겹의 레이어로 쌓은 이 책은 넉넉히 담은 …"
"67","생활_문화","코의 신비-냥이 코가 보내는 신호들","매일경제","사람과 마찬가지로 반려동물의 코 역시 숨을 쉬고 냄새를 맡는다. 그들의 후각 능력은 사람보다 훨씬 뛰어나며, 엄청난 양의 정보를 …"
"68","생활_문화","여름 배탈 주의-허를 찌르는 여름 질병 ‘설사감염병’","매일경제","배탈의 의학적 표현은 설사감염병, 더 구체적으로는 ‘수인성 및 식품매개감염병’이다. 이 단어에서 배탈의 본질을 알 수 있다. 배 …"
"69","생활_문화","[충북소식] 옥천 체험파크사업 20억원 국비 확보","연합뉴스","(옥천=연합뉴스) 옥천 장령산 숲속동굴 체험파크사업이 국토교통부의 지역수요 맞춤지원 공모에 최종 선정됐다. 20억원의 국비가 지 …"
"70","생활_문화","에쓰오일, ‘제10기 대학생 천연기념물 지킴이단’ 발대식 진행","동아일보","에쓰오일(S-OIL)은 3일 서울 마포구 공덕동 소재 본사에서 ‘제10기 에쓰오일 대학생 천연기념물 지킴이단’ 발대식을 진행했다 …"
"71","생활_문화","영화 ‘북클럽’ 호기심과 열정에 나이는 없다","매일경제","다이앤 키튼, 제인 폰다, 메리 스틴버겐, 캔디스 버겐. “‘어벤져스’ 못지않은 역사상 가장 위대한 캐스팅”(-『Los Ange …"
"72","생활_문화","장마에 비는 안오고… 32→33→34도, 폭염 수준 더위만","세계일보","지난 2일 서울 종로구 청계천 모전교 아래 그늘에서 시민들이 햇볕을 피해 휴식을 취하고 있다. 연합뉴스 ‘장마 시작된 거 맞아? …"
"73","생활_문화","르노삼성 부산시와 메이드인 부산 캠페인","매일경제","오거돈 시장 QM6 LPG 모델 직접 구매 부산 경제 활성화 도모 르노삼성자동차가 부산 지역경제 활성화를 위해 부산시, 부산상공 …"
"74","생활_문화","홍콩인만 안다고? '힙'하고 '핫'한 삼수이포의 매력","머니S","서울에 '힙지로'(힙한 을지로)가 있다면 홍콩에는 '삼수이포'가 있다. '힙지로'와 '삼수이포'는 낡은 도심의 공장을 반짝이는  …"
"75","생활_문화","슈퍼주니어, 아시아 최초 사우디아라비아에서 콘서트","YTN","그룹 슈퍼주니어가 아시아 가수 최초로 사우디아라비아에서 콘서트를 엽니다. 슈퍼주니어는 현지시각 오는 12일 오후 7시 사우디아라 …"
"76","생활_문화","백종원 유튜브 구독자 200만 돌파...비결은 '양파볶음' 아니었다","이데일리","[이데일리 박지혜 기자] 요리연구가 백종원 더본코리아 대표이사의 유튜브 채널 ‘백종원의 요리비책’이 개설한 지 3주 만에 구독자 …"
"77","생활_문화","더위 식히는 물놀이","뉴시스","【대구=뉴시스】우종록 기자 = 대구지역 폭염주의보가 내려지고 낮 기온이 30도를 웃도는 날씨를 보인 3일 오후 대구 수성구 고모 …"
"78","생활_문화","'차가워'","뉴시스","【대구=뉴시스】우종록 기자 = 대구지역 폭염주의보가 내려지고 낮 기온이 30도를 웃도는 날씨를 보인 3일 오후 대구 수성구 고모 …"
"79","생활_문화","시원한 물놀이","뉴시스","【대구=뉴시스】우종록 기자 = 대구지역 폭염주의보가 내려지고 낮 기온이 30도를 웃도는 날씨를 보인 3일 오후 대구 수성구 고모 …"
"80","생활_문화","바닥분수에서 더위 식히는 어린이","뉴시스","【대구=뉴시스】우종록 기자 = 대구지역 폭염주의보가 내려지고 낮 기온이 30도를 웃도는 날씨를 보인 3일 오후 대구 수성구 고모 …"
"81","세계","RUSSIA PHOTO ESSAY DIAMOND LAND","EPA연합뉴스","The Land of Diamonds (20/40) Workers polish diamonds at the ALROSA diam …"
"82","세계","멕시코서 중남미 출신 美이주희망자 69명 자발적 귀국","뉴스1","(서울=뉴스1) 박혜연 기자 = 멕시코에서 미국 망명을 기다리고 있던 중남미 출신 이민자 수십명이 자발적으로 고국으로 돌아갔다. …"
"83","세계","RUSSIA PHOTO ESSAY DIAMOND LAND","EPA연합뉴스","The Land of Diamonds (21/40) A laser scans a rough diamond at the ALROS …"
"84","세계","캄보디아 2세 여아, 악어 우글대는 우리로 추락해 사망","파이낸셜뉴스","사진은 기사 내용과 관련이 없음 / 사진=픽사베이 캄보디아의 어린 소녀가 가족이 운영하는 악어 농장으로 떨어져 사망하는 사고가  …"
"85","세계","리비아 군벌, 난민 수용소 공습…40명 사망 80명부상(종합)","뉴시스","【서울=뉴시스】이재우 기자 = 군벌 '리비아국민군(LNA)'이 2일(현지시간) 유엔(UN)이 지지하는 '통합정부(GNA)군'이  …"
"86","세계","英 총리 유력 존슨, 브렉시트 후 '싱가포르식 면세구역' 구상","연합뉴스","북아일랜드 유세서 경제부흥 정책 공개…EU 떠나야 가능 설탕·소금 등에 물리는 '죄악세'도 폐지…정부 개입 재검토해야 ( …"
"87","세계","RUSSIA PHOTO ESSAY DIAMOND LAND","EPA연합뉴스","The Land of Diamonds (40/40) A monument to pioneering geologists and lo …"
"88","세계","RUSSIA PHOTO ESSAY DIAMOND LAND","EPA연합뉴스","The Land of Diamonds (18/40) A worker examines diamond at the ALROSA di …"
"89","세계","RUSSIA PHOTO ESSAY DIAMOND LAND","EPA연합뉴스","The Land of Diamonds (19/40) A cutting specialist examines a rough diam …"
"90","세계","살해 동기는 성매매 방해?…어린 두 딸 살해한 비정한 엄마","서울신문","[서울신문 나우뉴스] 영국의 한 여성이 어린 두 딸을 살해한 혐의로 재판에 넘겨졌다. 데일리메일 등 영국매체는 2일(현지시간)  …"
"91","세계","'포드 머스탱의 아버지' 아이아코카 향년 94세로 타계","뉴스1","(서울=뉴스1) 이창규 기자 = 미국 자동차 산업의 입지전적인 인물인 리 아이아코카 전 크라이슬러 회장이 2일(현지시간) 향년  …"
"92","세계","RUSSIA PHOTO ESSAY DIAMOND LAND","EPA연합뉴스","The Land of Diamonds (17/40) Unsized rough diamonds at the ALROSA Diamo …"
"93","세계","[게시판] 한-인도네시아, 내일 자카르타서 방산 세미나","연합뉴스","▲ 외교부는 4일 인도네시아 자카르타에서 조코 위도도 정부 2기 출범을 앞두고 한-인도네시아 방산 세미나를 열어 양국간 방산 협 …"
"94","세계","RUSSIA PHOTO ESSAY DIAMOND LAND","EPA연합뉴스","The Land of Diamonds (16/40) A machine sorts ore in the processing plan …"
"95","세계","RUSSIA PHOTO ESSAY DIAMOND LAND","EPA연합뉴스","The Land of Diamonds (15/40) A worker of the company Alrosa cleans the  …"
"96","세계","日 남부 규슈 '물폭탄'…주민 124만명에 피난 지시(종합)","연합뉴스","미야자키현 에비노市 누적 강수량 1,000㎜ 넘어 (도쿄=연합뉴스) 박세진 특파원 = 장마전선이 머물고 있는 일본 남부 규슈(九 …"
"97","세계","中, 남중국해서 대함탄도미사일 시험…美 '항행의 자유' 견제","연합뉴스","미 NBC 보도…미 국방부도 남중국해 인공구조물서 中미사일 발사 (서울=연합뉴스) 황철환 기자 = 중국이 남중국해 분쟁해역에 …"
"98","세계","美연구진, 살충제로 바퀴벌레 박멸 불가능 결론","조선일보","머지 않은 미래에 살충제로 바퀴벌레를 박멸하는 것이 불가능해질 수 있다는 암울한 보고가 나왔다. 바퀴벌레는 식중독의 원인이 되는 …"
"99","세계","RUSSIA PHOTO ESSAY DIAMOND LAND","EPA연합뉴스","The Land of Diamonds (14/40) A worker is reflected in a mirror while co …"
"100","세계","RUSSIA PHOTO ESSAY DIAMOND LAND","EPA연합뉴스","The Land of Diamonds (13/40) A shift supervisor monitors the process of …"
"101","IT_과학","메모리 불황에도 삼성·SK하이닉스, 상반기 성과급 100% 지급키로","조선비즈","글로벌 메모리 반도체 불황이 지속되고 있는 가운데 삼성전자가 관련 사업부 직원들에게 월 기본급의 100% 성과급을 지급할 것으로 …"
"102","IT_과학","에몬스가구 신제품 품평회…친환경에 사물인터넷 접목","연합뉴스","(서울=연합뉴스) 김보경 기자 = 에몬스가구가 친환경과 정보통신(IT) 기술을 접목해 편안한 휴식을 돕는 가구를 내놓겠다고 밝혔 …"
"103","IT_과학","신속한 통신재난 복구","뉴스1","(서울=뉴스1) 허경 기자 = 3일 서울 종로구 KT혜화국사에서 열린 2019년 통신재난 대응훈련에서 KT 직원들이 통신 시설을 …"
"104","IT_과학","'대한민국 통신망, 재난에도 이상 무'","뉴스1","(서울=뉴스1) 허경 기자 = 유영민 과학기술정보통신부 장관, 황창규 KT 회장, 노웅래 과학기술정보방송통신위원장, 3일 서울  …"
"105","IT_과학","구 통신 시설 살피는 유영민 장관","뉴스1","(서울=뉴스1) 허경 기자 = 유영민 과학기술정보통신부 장관, 황창규 KT 회장, 노웅래 과학기술정보방송통신위원장, 3일 서울  …"
"106","IT_과학","'신속한 통신 복구를 위해'","뉴스1","(서울=뉴스1) 허경 기자 = 3일 서울 종로구 KT혜화국사에서 열린 2019년 통신재난 대응훈련에서 KT 직원들이 피해 상황을 …"
"107","IT_과학","'잘 터지네'","뉴스1","(서울=뉴스1) 허경 기자 = 유영민 과학기술정보통신부 장관, 노웅래 과학기술정보방송통신위원장, 황창규 KT 회장이 3일 서울  …"
"108","IT_과학","복구된 통신망 확인하는 유영민 장관","뉴스1","(서울=뉴스1) 허경 기자 = 유영민 과학기술정보통신부 장관, 황창규 KT 회장이 3일 서울 종로구 KT혜화국사에서 열린 201 …"
"109","IT_과학","통신재난 대응훈련 '신속한 복구'","뉴스1","(서울=뉴스1) 허경 기자 = 3일 서울 종로구 KT혜화국사에서 열린 2019년 통신재난 대응훈련에서 KT 직원들이 통신 시설을 …"
"110","IT_과학","통신재난을 막아라","뉴스1","(서울=뉴스1) 허경 기자 = 3일 서울 종로구 KT혜화국사에서 열린 2019년 통신재난 대응훈련에서 KT 직원들이 통신 시설을 …"
"111","IT_과학","[그래픽] '인보사' 개발부터 허가 취소 확정까지","연합뉴스","(서울=연합뉴스) 박영석 기자 = 식품의약품안전처가 의약품 성분이 뒤바뀐 코오롱생명과학의 골관절염 유전자 치료제 '인보사케이주' …"
"112","IT_과학","e스포츠協, 충남 예산교육지원청과 진로탐색 확대 위한 협약","매일경제","한국e스포츠협회(회장 김영만·이하 협회)가 충청남도 예산교육지원청과 3일 지역 청소년들의 e스포츠 진로탐색 기회 확대를 위한 업 …"
"113","IT_과학","2019년 통신재난 대응훈련 실시","전자신문","2019년 통신재난 대응훈련이 3일 서울 혜화동 KT혜화국사에서 열렸다. 노웅래 국회의원, 유영민 과학기술정보통신부 장관, 황창 …"
"114","IT_과학","'신가전 덕분에'…LG電 가전, 2Q도 호실적 '방긋'","ZDNet Korea","H&A사업본부 영업이익 약 6천500억원 추정 (지디넷코리아=권혜미 기자)LG전자의 생활가전을 담당하는 H&A 사업본부가 2분기 …"
"115","IT_과학","KT, U-20 월드컵 골든볼 주인공 이강인 공식 후원","스포츠서울","이필재 KT 마케팅부문장 부사장(왼쪽)과 이강인 선수가 조인식 체결 후 기념촬영을 하고 있다. 제공 | KT[스포츠서울 김민규기 …"
"116","IT_과학","“회장도 접속하려면 인증해야”…아카마이 '제로 트러스트'로 해킹 막는다","조선비즈","아카마이는 전 세계에서 발생하는 시간당 3740만건의 사이버 공격을 막고 있습니다. ‘제로 트러스트’ 기반 보안 솔루션 덕분입 …"
"117","IT_과학","비트맥스, 블록체인 딥클라우드AI 토큰 사전 판매","뉴스1","(서울=뉴스1) 송화연 기자 = 암호화폐 거래사이트 비트맥스가 오는 18일 블록체인 기반 인공지능(AI) 클라우드 컴퓨팅 플랫폼 …"
"118","IT_과학","'에이펙스 레전드', 시즌2 배틀 차지 시작…업데이트 요소는?","엑스포츠뉴스","[엑스포츠뉴스닷컴] 일렉트로닉 아츠는 배틀로얄 게임 'APEX(에이펙스) 레전드(이하 에이펙스 레전드) '가 7월 3일 시즌2  …"
"119","IT_과학","[리뷰] '다 쏟아 넣었어' 올림푸스 OM-D E-M1X","동아일보","마이크로포서드(Micro-Fourthird). 현재 올림푸스와 파나소닉, DJI, 샤오미 등이 제품을 선보이며 플랫폼을 유지해  …"
"120","IT_과학","BIC조직위, ‘BIC Make Play Jam : Young Spirit’ 참가자 모집","매일경제","부산인디커넥트페스티벌조직위원회(위원장 서태건)는 게임인재단과 함께 고등학생, 대학생, 청년층을 대상으로 하는 ‘BIC Make  …"
"121","오피니언","'공무원 만들어 달라는 파업'이 아니다","미디어오늘","[기고] [미디어오늘 서울의 한 초등학교 비정규직 직원] 안녕하세요? 저는 서울의 한 초등학교에서 근무하는 학교 비정규직 직원입 …"
